project_id,no_spk,no_bap,no,date,termyn,job_percent,payment_percent,nilai,retensi
3,233/SBM/1/36.26.1/X/12,BAP 13-0140,233/SBM/1/36.26.1/X/12,2012-11-02,2,9,9,40667680,2033384
3,189/SBM/1/38.26.1/VIII/12,BAP 13-0144,189/SBM/1/38.26.1/VIII/12,2012-09-13,2,28,28,237178849,11858942
3,276/SBM/1/38.26.1/XI/12,BAP 13-0145,276/SBM/1/38.26.1/XI/12,2012-11-07,1,52,37,207510301,14613879
3,184/SBM/1/38.26.1/VIII/12,BAP 13-0146,184/SBM/1/38.26.1/VIII/12,2012-10-16,3,18,18,205158364,10257918
3,180/SBM/1/38.26.1/VIII/12,BAP 13-0147,180/SBM/1/38.26.1/VIII/12,2012-10-06,3,20,20,201635177,10081759
3,325/SBM/1/38.26.1/XII/12,BAP 13-0148,325/SBM/1/38.26.1/XII/12,2012-12-20,0,0,15,21191820,0
3,325/SBM/1/38.26.1/XII/12,BAP 13-0148,325/SBM/1/38.26.1/XII/12,2012-12-20,1,36,21,29965233,2557853
3,229/SBM/1/38.26.1/IX/12,BAP 13-0149,229/SBM/1/38.26.1/IX/12,2012-11-27,3,16,16,23000189,1150009
3,196/SBM/1/38.26.1/VIII/12,BAP 13-0150,196/SBM/1/38.26.1/VIII/12,2012-11-30,4,10,10,67460627,3373031
3,240/SBM/1/38.26.1/X/12,BAP 13-0151,240/SBM/1/38.26.1/X/12,2012-12-04,3,14,14,117826519,5891326
3,151/SBM/1/36.3.4/VII/12,BAP 13-0153,151/SBM/1/36.3.4/VII/12,2012-08-09,2,55,55,278356000,13917800
3,151/SBM/1/36.3.4/VII/12,BAP 13-0153,IL.003/K-151/2,2013-03-13,0,0,15,-20318182,0
3,151/SBM/1/36.3.4/VII/12,BAP 13-0153,IL.003/K-151/2,2013-03-13,1,36,21,-28784091,-2455114
3,151/SBM/1/36.3.4/VII/12,BAP 13-0153,IL.003/K-151/2,2013-03-13,2,21,21,-28784091,-1439205
3,151/SBM/1/36.3.4/VII/12,BAP 13-0153,IL.003/K-151/2,2013-03-13,3,37,37,-50294273,-2514714
3,186/SBM/1/38.26.1/VIII/12,BAP 13-0154,186/SBM/1/38.26.1/VIII/12,2012-11-03,4,18,18,148851344,7442567
3,329/SBM/Prom/Mkt/XII/12,BAP 13-0155,329/SBM/Prom/Mkt/XII/12,2013-02-17,2,50,45,97875000,0
3,135/SBM/1/35.26.1/VI/12,BAP 13-0156,135/SBM/1/35.26.1/VI/12,2012-10-28,5,24,24,194016125,9700806
3,249/SBM/1/38.26.1/X/12,BAP 13-0157,249/SBM/1/38.26.1/X/12,2012-12-11,3,19,19,96627300,4831365
3,047/SPK/EST/CG/II/13,BAP 13-0158,047/SPK/EST/CG/II/13,2013-02-28,1,17,17,67869520,0
3,187/SBM/1/38.26.1/VIII/12,BAP 13-0159,187/SBM/1/38.26.1/VIII/12,2012-10-03,3,26,26,102559875,5127994
3,188/SBM/1/38.26.1/VIII/12,BAP 13-0160,188/SBM/1/38.26.1/VIII/12,2012-10-13,3,29,29,73750050,3687503
3,183/SBM/1/38.26.1/VIII/12,BAP 13-0161,183/SBM/1/38.26.1/VIII/12,2012-09-10,2,16,16,77746760,3887338
3,007/SPK/EST/CG/I/13,BAP 13-0162,007/SPK/EST/CG/I/13,2013-03-17,3,17,17,3600000,0
3,259/SBM/1/36.12.5/X/12,BAP 13-0163,259/SBM/1/36.12.5/X/12,2012-11-19,2,65,30,23700000,0
3,024/SPK/EST/CG/II/13,BAP 13-0164,024/SPK/EST/CG/II/13,2013-02-12,1,100,65,43084600,0
3,051/SBM/1/5.4.4/III/13,BAP 13-0165,051/SBM/1/5.4.4/III/13,2013-03-05,1,100,95,8208000,0
3,248/SBM/1/1.6.6/X/12,BAP 13-0167,248/SBM/1/1.6.6/X/12,2012-10-10,1,65,30,115909091,0
3,247/SBM/1/38.26.1/X/12,BAP 13-0168,247/SBM/1/38.26.1/X/12,2012-12-15,3,17,17,112142461,5607123
3,009/SBM/1/36.13.4/I/13,BAP 13-0169,009/SBM/1/36.13.4/I/13,2013-01-17,0,0,50,15755000,0
3,009/SBM/1/36.13.4/I/13,BAP 13-0169,009/SBM/1/36.13.4/I/13,2013-01-17,1,100,45,14179500,0
3,009/SBM/1/36.13.4/I/13,BAP 13-0169,IL.002/K-009/13,2013-03-13,0,0,50,-9487500,0
3,009/SBM/1/36.13.4/I/13,BAP 13-0169,IL.002/K-009/13,2013-03-13,1,100,45,-8538750,0
