project_id,no_spk,no_bap,date,termyn,job_percent,payment_percent,nilai,retensi
61,053/PGM/1/1.12.5/XII/17,BAP 18-0020,2018-03-06,1,50,50,-915353,0
61,053/PGM/1/1.12.5/XII/17,BAP 18-0020,2018-04-06,2,50,50,-915353,0
61,038/PGM/1/7.26.1/IX/17,BAP 18-0021,2017-11-25,3,13,13,374916069,18745803
61,006/PGM/1/1.2.4/II/18,BAP 18-0022,2018-02-15,0,0,15,861105000,0
61,039/PGM/1/7.26.1/IX/17,BAP 18-0024,2017-11-26,3,14,14,444517615,22233595
61,041/PGM/1/7.4.4/IX/17,BAP 18-0025,2017-11-09,2,11,11,1019441700,50972085
61,002/PGM/MKT/PROM/I/18,BAP 18-0026,2018-01-15,0,0,50,43500000,0
61,002/PGM/MKT/PROM/I/18,BAP 18-0026,2018-01-22,1,100,50,43500000,0
61,037/PGM/1/7.26.1/IX/17,BAP 18-0028,2017-11-22,3,17,17,863757002,43187850
61,013/PGM/1/1.27.8/III/17 add,BAP 18-0029,2018-03-19,1,100,100,8999000,449950
61,044/PGM/1/1.11.3/X/17,BAP 18-0030,2017-10-12,0,0,15,46650000,0
61,044/PGM/1/1.11.3/X/17,BAP 18-0031,2018-03-20,1,60,45,139950000,9330000
61,012/PGM/1/1.4.4/II/18,BAP 18-0032,2018-02-26,0,0,15,100580864,0
61,012/PGM/1/1.4.4/II/18,BAP 18-0032,2018-03-21,1,32,17,113991645,10728625
61,012/PGM/1/1.4.4/II/18,BAP 18-0032,2018-04-21,2,17,17,113991645,5699582
61,012/PGM/1/1.4.4/II/18,BAP 18-0032,2018-05-21,3,17,17,113991645,5699582
61,012/PGM/1/1.4.4/II/18,BAP 18-0032,2018-06-21,4,17,17,113991645,5699582
61,012/PGM/1/1.4.4/II/18,BAP 18-0032,2018-07-21,5,17,17,113991645,5699582
61,010/PGM/1/1.5.6/II/18,BAP 18-0033,2018-02-26,0,0,30,29904000,0
61,003/PGM/1/1.1.8/I/18,BAP 18-0034,2018-01-18,1,75,25,7250000,0
61,003/PGM/1/1.1.8/I/18,BAP 18-0034,2018-02-18,2,25,25,7250000,0
61,053/PGM/1/1.12.5/XII/17,BAP 18-0035,2018-02-24,2,17,17,18502000,0
61,053/PGM/1/1.12.5/XII/17,BAP 18-0035,2018-04-10,1,50,50,-459905,0
61,053/PGM/1/1.12.5/XII/17,BAP 18-0035,2018-05-10,2,50,50,-459905,0
61,043/PGM/1/1.12.5/X/117-ADD,BAP 18-0038,2018-04-10,1,100,100,11144000,0
61,009/PGM/1/7.26.1/III/18,BAP 18-0039,2018-03-02,0,0,15,402624290,0
61,054/PGM/1/1.12.5/XII/17,BAP 18-0040,2018-02-05,2,17,17,9900000,0
61,038/PGM/1/7.26.1/IX/17,BAP 18-0041,2017-12-25,4,15,15,408410823,20420541
61,021/PGM/1/1.3.4/IV/17,BAP 18-0042,2017-09-19,6,0,5,28181818,0
61,039/PGM/1/7.26.1/IX/17,BAP 18-0044,2017-12-26,4,22,22,675679117,33790128
61,010/PGM/1/1.5.6/II/18,BAP 18-0045,2018-03-14,1,44,14,34888000,3239600
61,010/PGM/1/1.5.6/II/18,BAP 18-0045,2018-04-14,2,14,14,9968000,498400
61,010/PGM/1/1.5.6/II/18,BAP 18-0045,2018-05-14,3,14,14,9968000,498400
61,010/PGM/1/1.5.6/II/18,BAP 18-0045,2018-06-14,4,14,14,9968000,498400
61,010/PGM/1/1.5.6/II/18,BAP 18-0045,2018-07-14,5,14,14,4984000,249200
61,014/PGM/1/1.3.4/III/18,BAP 18-0047,2018-03-15,0,0,30,13500000,0
61,014/PGM/1/1.3.4/III/18,BAP 18-0047,2018-03-19,1,65,35,15750000,1462500
61,014/PGM/1/1.3.4/III/18,BAP 18-0047,2018-04-19,2,35,35,15750000,787500
61,041/PGM/1/7.4.4/IX/17,BAP 18-0048,2017-12-09,3,12,12,1049766300,52488315
61,053/PGM/1/1.12.5/XII/17,BAP 18-0049,2018-03-24,3,17,17,18502000,0
61,053/PGM/1/1.12.5/XII/17,BAP 18-0049,2018-05-08,1,50,50,-352984,0
61,053/PGM/1/1.12.5/XII/17,BAP 18-0049,2018-06-08,2,50,50,-352984,0
61,054/PGM/1/1.12.5/XII/17,BAP 18-0050,2018-03-05,3,17,17,9900000,0
61,007/PGM/1/1.3.4/II/18,BAP 18-0051,2018-02-13,0,0,30,61558875,0
61,007/PGM/1/1.3.4/II/18,BAP 18-0051,2018-02-27,1,65,35,71818688,6668878
61,007/PGM/1/1.3.4/II/18,BAP 18-0051,2018-03-27,2,35,35,71818688,3590934
61,037/PGM/1/7.26.1/IX/17,BAP 18-0052,2017-12-22,4,17,17,836950750,41847538
61,011/PGM/1/1.12.5/III/18,BAP 18-0056,2018-03-05,0,0,30,14601818,0
61,011/PGM/1/1.12.5/III/18,BAP 18-0056,2018-03-06,1,100,70,34070909,4867273
61,038/PGM/1/7.26.1/IX/17,BAP 18-0058,2018-01-25,5,11,11,299763974,14988199
61,020/PGM/MKT/PROM/IV/18,BAP 18-0059,2018-04-17,0,0,50,130000000,0
61,046/PGM/1/1.6.4/XI/17,BAP 18-0062,2017-11-14,0,0,25,51375000,0
61,013/PGM/1/1.5.7/IV/18,BAP 18-0063,2018-03-13,0,0,15,628065000,0
61,006/PGM/1/1.2.4/II/18,BAP 18-0065,2018-02-22,1,36,21,1186028620,102356681
61,041/PGM/1/7.4.4/IX/17,BAP 18-0066,2018-01-09,4,20,20,1776664800,88833240
61,022/PGM/1/1.3.4/IV/17,BAP 18-0067,2017-08-17,4,0,0,65977000,3298850
61,022/PGM/1/1.3.4/IV/17,BAP 18-0067,2017-09-17,5,0,0,65977000,3298850
61,022/PGM/1/1.3.4/IV/17,BAP 18-0067,2017-09-19,6,0,5,19405000,0
61,022/PGM/1/1.3.4/IV/17,BAP 18-0067,2017-04-07,0,0,15,1174635,0
61,022/PGM/1/1.3.4/IV/17,BAP 18-0067,2017-05-17,1,32,17,1331253,125294
61,022/PGM/1/1.3.4/IV/17,BAP 18-0067,2017-06-17,2,17,17,1331253,66563
61,022/PGM/1/1.3.4/IV/17,BAP 18-0067,2017-07-17,3,17,17,1331253,66563
61,022/PGM/1/1.3.4/IV/17,BAP 18-0067,2017-08-17,4,17,17,1331253,66563
61,022/PGM/1/1.3.4/IV/17,BAP 18-0067,2017-09-17,5,17,17,1331253,66563
61,022/PGM/1/1.3.4/IV/17,BAP 18-0067,2017-09-19,6,0,5,391545,0
61,043/PGM/1/1.12.5/X/17,BAP 18-0068,2018-04-28,4,0,10,4210000,0
61,027/PGM/1/1.27.4/V/18,BAP 18-0069,2018-05-18,0,0,50,27321250,0
61,015/PGM/1/1.12.5/III/18,BAP 18-0070,2018-03-27,0,0,15,52020000,0
61,044/PGM/1/1.11.3/X/17,BAP 18-0071,2018-04-20,2,25,25,77750000,3887500
61,018/PGM/1/7.26.1/IV/18,BAP 18-0072,2018-04-05,0,0,15,214922640,0
61,009/PGM/1/7.26.1/III/18,BAP 18-0073,2018-03-13,1,27,12,309752287,35618829
61,012/PGM/1/1.4.4/II/18,BAP 18-0074,2018-07-20,6,0,5,33526955,0
61,008/PGM/1/7.26.1/II/18,BAP 18-0075,2018-02-23,0,0,15,514536900,0
61,008/PGM/1/7.26.1/II/18,BAP 18-0075,2018-03-09,1,27,12,411629520,46308321
61,053/PGM/1/1.12.5/XII/17,BAP 18-0076,2018-04-24,4,17,17,18502000,0
61,053/PGM/1/1.12.5/XII/17,BAP 18-0076,2018-06-11,1,50,50,-273439,0
61,053/PGM/1/1.12.5/XII/17,BAP 18-0076,2018-07-11,2,100,50,-273439,0
61,054/PGM/1/1.12.5/XII/17,BAP 18-0077,2018-04-05,4,17,17,9900000,0
61,026/PGM/1/1.12.5/V/18,BAP 18-0078,2018-05-24,1,17,17,9900000,0
61,022/PGM/1/1.4.4/V/18,BAP 18-0079,2018-05-14,0,0,15,342165000,0
61,023/PGM/1/1.4.4/V/18,BAP 18-0080,2018-05-14,0,0,15,266190000,0
61,020/PGM/MKT/PROM/IV/18,BAP 18-0081,2018-04-27,1,100,50,130000000,0
61,033/PGM/1/1.1.8/VI/18,BAP 18-0082,2018-07-02,1,100,100,5800000,0
61,054/PGM/1/1.12.5/XII/17,BAP 18-0083,2017-12-20,0,17,17,9900000,0
61,054/PGM/1/1.12.5/XII/17,BAP 18-0084,2018-05-05,5,17,17,9900000,0
61,029/PGM/1/1.27.1/VI/18,BAP 18-0085,2018-06-06,0,0,35,37968000,0
61,009/PGM/1/7.26.1/III/18,BAP 18-0086,2018-04-13,2,20,20,534953474,26747674
61,006/PGM/1/1.2.4/II/18,BAP 18-0088,2018-03-22,2,11,11,628032580,31401629
